"Points:0","Points:1","Points:2"
-3.60000e-03,-8.83140e-02,-7.58210e-02
-2.07700e-03,4.58340e-02,-7.55730e-02
-4.76000e-04,-7.89240e-02,-7.56970e-02
2.57290e-02,1.76400e-02,-7.56970e-02
2.95440e-02,1.17470e-02,-7.59900e-02
3.04430e-02,1.13560e-02,-7.57650e-02
-8.52800e-03,-8.23910e-02,-7.53780e-02
1.74000e-04,-8.65170e-02,-7.56310e-02
-6.90100e-03,-8.67280e-02,-7.55540e-02
-7.75200e-03,-7.92880e-02,-7.55730e-02
-8.38500e-03,3.79260e-02,-7.53060e-02
5.81000e-04,3.62280e-02,-7.48270e-02
1.28900e-03,3.75050e-02,-7.53470e-02
1.51000e-03,4.14410e-02,-7.47820e-02
2.60310e-02,1.39280e-02,-7.55640e-02
2.73870e-02,1.22200e-02,-7.57050e-02
-8.18400e-03,-8.43670e-02,-7.55210e-02
2.55200e-02,1.66780e-02,-7.55210e-02
-4.94100e-03,-7.69040e-02,-7.55540e-02
6.70000e-04,4.33170e-02,-7.52190e-02
2.81640e-02,1.16060e-02,-7.54520e-02
-1.82800e-03,-7.76030e-02,-7.53570e-02
-2.86200e-03,-7.72930e-02,-7.54440e-02
-4.53800e-03,-8.82570e-02,-7.51040e-02
1.28900e-03,-8.43490e-02,-7.55480e-02
-6.81000e-04,-8.72760e-02,-7.54030e-02
-8.61300e-03,3.89430e-02,-7.51640e-02
1.48000e-03,-8.23650e-02,-7.54060e-02
-6.25800e-03,-7.76310e-02,-7.53340e-02
-7.04700e-03,-7.83410e-02,-7.51230e-02
3.41000e-04,-7.95860e-02,-7.55030e-02
-8.17600e-03,-8.02430e-02,-7.52880e-02
3.54100e-02,1.56420e-02,-7.52050e-02
-4.92000e-04,4.44640e-02,-7.50610e-02
-6.13900e-03,-8.74860e-02,-7.53290e-02
-3.42800e-03,-8.83810e-02,-7.50680e-02
-7.10200e-03,4.40870e-02,-7.51260e-02
3.01270e-02,1.11260e-02,-7.50400e-02
2.67670e-02,2.08700e-02,-7.55170e-02
2.77120e-02,2.15010e-02,-7.55090e-02
2.91020e-02,1.12750e-02,-7.52320e-02
1.75900e-03,3.95910e-02,-7.50490e-02
2.61430e-02,2.00980e-02,-7.54440e-02
-8.64400e-03,3.93510e-02,-7.51040e-02
-7.83000e-03,-8.52810e-02,-7.52510e-02
-1.62300e-03,-8.77990e-02,-7.52450e-02
-2.87100e-03,3.45240e-02,-7.50770e-02
2.64720e-02,1.30260e-02,-7.53010e-02
3.27690e-02,2.10210e-02,-7.53460e-02
-2.23200e-03,3.46460e-02,-7.50580e-02
-5.99900e-03,4.49750e-02,-7.49980e-02
1.04500e-03,-8.04220e-02,-7.52560e-02
1.65700e-03,3.83600e-02,-7.45200e-02
2.57280e-02,1.91740e-02,-7.53100e-02
-8.41900e-03,-8.33560e-02,-7.50900e-02
1.21200e-03,-8.53410e-02,-7.52540e-02
3.52400e-02,1.82900e-02,-7.50890e-02
3.37600e-02,2.04080e-02,-7.50570e-02
-7.42000e-03,-8.59840e-02,-7.43090e-02
-6.75300e-03,-8.69210e-02,-7.47640e-02
2.55000e-02,1.54970e-02,-7.52650e-02
-2.37500e-03,-8.81050e-02,-7.51550e-02
2.87460e-02,2.20590e-02,-7.54710e-02
-1.82000e-04,3.55330e-02,-7.49280e-02
-6.67400e-03,3.53880e-02,-7.49620e-02
-1.32400e-03,4.51430e-02,-7.49650e-02
5.03000e-04,4.31660e-02,-7.45350e-02
-7.58200e-03,4.31250e-02,-7.45570e-02
2.54110e-02,1.78000e-02,-7.50540e-02
-7.55700e-03,-7.91550e-02,-7.48790e-02
3.14640e-02,1.11500e-02,-7.55630e-02
3.08180e-02,1.09920e-02,-7.41810e-02
3.19310e-02,1.09140e-02,-7.47120e-02
-7.21000e-04,-7.82130e-02,-7.51770e-02
1.56100e-03,-8.43210e-02,-7.48270e-02
-8.11500e-03,4.01560e-02,-7.35730e-02
2.71580e-02,1.21540e-02,-7.49980e-02
-5.07300e-03,4.53610e-02,-7.49420e-02
-2.03300e-03,4.55700e-02,-7.49020e-02
3.54470e-02,1.36720e-02,-7.47690e-02
-7.40400e-03,3.61140e-02,-7.48590e-02
1.07300e-03,-8.57360e-02,-7.51320e-02
-4.04800e-03,4.55890e-02,-7.49060e-02
-3.03300e-03,4.49810e-02,-7.35740e-02
5.65000e-04,-7.95540e-02,-7.47810e-02
1.61200e-03,-8.18290e-02,-7.48370e-02
-8.18700e-03,-8.10110e-02,-7.43280e-02
-8.44000e-03,-8.21680e-02,-7.47140e-02
3.00440e-02,2.25510e-02,-7.53800e-02
3.16290e-02,2.22940e-02,-7.50720e-02
-4.86900e-03,3.46620e-02,-7.50620e-02
-4.90900e-03,-7.69310e-02,-7.48150e-02
1.07700e-03,4.23510e-02,-7.46490e-02
2.33000e-04,-8.67730e-02,-7.48240e-02
2.68560e-02,2.09320e-02,-7.47920e-02
-3.90900e-03,-7.68860e-02,-7.48330e-02
-1.28900e-03,3.49350e-02,-7.43040e-02
2.77190e-02,2.15960e-02,-7.48060e-02
3.15660e-02,1.07900e-02,-7.40160e-02
2.59060e-02,1.40480e-02,-7.48840e-02
-8.36300e-03,4.13400e-02,-7.48150e-02
1.71900e-03,4.04680e-02,-7.49190e-02
2.62440e-02,2.01070e-02,-7.47090e-02
-8.14800e-03,-8.43000e-02,-7.48090e-02
2.92980e-02,2.22690e-02,-7.47090e-02
2.61550e-02,1.32770e-02,-7.39510e-02
2.53870e-02,1.62000e-02,-7.47090e-02
-7.95400e-03,-7.99950e-02,-7.46310e-02
-8.27200e-03,3.78980e-02,-7.46040e-02
-2.12700e-03,-7.74380e-02,-7.46720e-02
2.53300e-02,1.68180e-02,-7.48560e-02
-6.02400e-03,-7.76950e-02,-7.45850e-02
-8.45800e-03,3.92570e-02,-7.44110e-02
2.97420e-02,1.05200e-02,-7.35190e-02
2.98380e-02,1.11280e-02,-7.43600e-02
2.82310e-02,1.07300e-02,-7.30740e-02
2.77240e-02,1.15260e-02,-7.40510e-02
-2.72000e-04,-8.71690e-02,-7.39740e-02
3.26210e-02,2.16110e-02,-7.47690e-02
-6.18800e-03,-8.74260e-02,-7.46170e-02
2.67240e-02,1.20230e-02,-7.35920e-02
-1.29700e-03,-7.78920e-02,-7.45380e-02
3.03260e-02,2.25390e-02,-7.46080e-02
3.56290e-02,1.69340e-02,-7.47310e-02
-2.84400e-03,-7.71790e-02,-7.47460e-02
3.48740e-02,1.26850e-02,-7.46430e-02
2.58210e-02,1.89090e-02,-7.45160e-02
3.56270e-02,1.46730e-02,-7.49610e-02
1.62000e-04,-8.68350e-02,-7.40750e-02
-6.04000e-04,4.41760e-02,-7.43920e-02
3.28740e-02,1.11770e-02,-7.46220e-02
-8.10000e-03,-8.38890e-02,-7.34740e-02
-7.87500e-03,4.20700e-02,-7.40050e-02
-8.17800e-03,4.12320e-02,-7.41260e-02
-6.36400e-03,-7.86440e-02,-7.35750e-02
-7.22400e-03,-7.91010e-02,-7.41670e-02
-2.03700e-03,-8.81110e-02,-7.36930e-02
3.35950e-02,2.06980e-02,-7.44200e-02
3.47720e-02,1.92570e-02,-7.46450e-02
1.11600e-03,-8.57350e-02,-7.44050e-02
1.66900e-03,-8.28060e-02,-7.45480e-02
3.38050e-02,1.16340e-02,-7.45800e-02
2.92750e-02,-5.89600e-02,-7.48560e-02
2.81850e-02,-6.08940e-02,-7.48190e-02
2.83400e-02,-6.20840e-02,-7.50720e-02
2.78090e-02,-6.29610e-02,-7.47090e-02
2.81380e-02,-6.42870e-02,-7.48970e-02
-7.31900e-03,3.61370e-02,-7.41530e-02
-7.77600e-03,-8.50160e-02,-7.38690e-02
2.55770e-02,1.51830e-02,-7.44610e-02
1.74200e-03,3.92690e-02,-7.36790e-02
1.27400e-03,4.11040e-02,-7.34140e-02
1.38700e-03,4.12780e-02,-7.40990e-02
2.58980e-02,1.92130e-02,-7.45670e-02
3.41240e-02,-5.92660e-02,-7.46160e-02
3.05980e-02,-6.76850e-02,-7.49160e-02
-3.47600e-03,-8.83070e-02,-7.43590e-02
-3.85600e-03,3.44690e-02,-7.43740e-02
-2.32800e-03,3.46650e-02,-7.43460e-02
-8.14000e-03,-8.27270e-02,-7.30870e-02
1.23500e-03,-8.08490e-02,-7.43970e-02
4.64000e-04,-7.96700e-02,-7.40140e-02
3.57580e-02,1.52140e-02,-7.43370e-02
-4.88700e-03,3.46490e-02,-7.43560e-02
3.15340e-02,-6.80860e-02,-7.47260e-02
3.55560e-02,-6.78690e-02,-7.47270e-02
-6.98600e-03,4.39310e-02,-7.44420e-02
-2.04600e-03,4.51980e-02,-7.42500e-02
2.83120e-02,-6.51990e-02,-7.45060e-02
3.79030e-02,-6.39710e-02,-7.48140e-02
3.76280e-02,-6.22900e-02,-7.47730e-02
-6.27200e-03,-8.73710e-02,-7.39010e-02
-5.59900e-03,-8.81980e-02,-7.29270e-02
-4.44500e-03,-8.84370e-02,-7.35880e-02
-5.84500e-03,3.45310e-02,-7.29550e-02
-4.87900e-03,3.40840e-02,-7.23160e-02
2.78900e-02,-6.19250e-02,-7.43880e-02
2.85600e-02,-5.95890e-02,-7.46020e-02
-5.88600e-03,4.46820e-02,-7.43320e-02
3.27430e-02,-5.71280e-02,-7.47970e-02
3.20080e-02,-5.71920e-02,-7.47870e-02
-1.58000e-04,-7.89170e-02,-7.42360e-02
3.08220e-02,-5.74770e-02,-7.46940e-02
3.51860e-02,1.85760e-02,-7.44330e-02
3.38200e-02,-5.72170e-02,-7.47370e-02
9.25000e-04,-8.05520e-02,-7.37540e-02
-4.76000e-03,4.46630e-02,-7.36290e-02
3.25230e-02,-6.82330e-02,-7.46400e-02
3.75310e-02,-6.06800e-02,-7.47000e-02
3.83680e-02,-6.28990e-02,-7.44980e-02
-6.61400e-03,3.53680e-02,-7.42620e-02
2.98850e-02,-5.79150e-02,-7.45300e-02
-6.55000e-04,-7.88190e-02,-7.35330e-02
-1.63900e-03,-7.80990e-02,-7.37480e-02
2.58910e-02,1.71510e-02,-7.33900e-02
-4.00300e-03,4.48610e-02,-7.35960e-02
3.15500e-02,2.22020e-02,-7.43420e-02
3.80120e-02,-6.47550e-02,-7.44750e-02
3.50300e-02,-5.73640e-02,-7.46480e-02
2.56240e-02,1.79630e-02,-7.43360e-02
1.40000e-04,3.51970e-02,-7.35290e-02
9.25000e-04,3.58520e-02,-7.34510e-02
3.34950e-02,-6.83170e-02,-7.45840e-02
3.54180e-02,-5.74700e-02,-7.45940e-02
3.45030e-02,-6.82550e-02,-7.45880e-02
3.25880e-02,-5.65000e-02,-7.43090e-02
3.55860e-02,1.71970e-02,-7.40690e-02
3.81980e-02,-6.13440e-02,-7.44020e-02
2.82770e-02,-6.49380e-02,-7.38550e-02
3.63450e-02,-5.79220e-02,-7.43780e-02
3.36180e-02,-5.64430e-02,-7.43090e-02
2.96330e-02,-6.71260e-02,-7.44180e-02
-2.89600e-03,3.41390e-02,-7.36940e-02
3.54780e-02,1.38430e-02,-7.40790e-02
3.61450e-02,-5.92990e-02,-7.45570e-02
3.71780e-02,-5.92610e-02,-7.45530e-02
3.44340e-02,1.95590e-02,-7.40420e-02
3.36570e-02,2.02010e-02,-7.35750e-02
3.05220e-02,-6.77530e-02,-7.41300e-02
-2.04600e-03,4.47070e-02,-7.36110e-02
2.90320e-02,-5.85810e-02,-7.42640e-02
3.16380e-02,-5.67920e-02,-7.42040e-02
-4.81700e-03,-7.72730e-02,-7.39830e-02
2.80960e-02,-6.05660e-02,-7.41990e-02
1.64200e-03,-8.39030e-02,-7.42220e-02
3.44980e-02,-5.66620e-02,-7.41950e-02
3.55440e-02,1.40060e-02,-7.33800e-02
3.56430e-02,1.51300e-02,-7.28860e-02
-3.78700e-03,-7.73030e-02,-7.39770e-02
2.57750e-02,1.43930e-02,-7.35320e-02
2.57060e-02,1.61670e-02,-7.32070e-02
1.24400e-03,-8.15340e-02,-7.34640e-02
-5.74600e-03,4.43420e-02,-7.36760e-02
2.87930e-02,2.11310e-02,-7.38090e-02
2.69220e-02,1.98850e-02,-7.38320e-02
7.62000e-04,4.24490e-02,-7.39290e-02
3.79280e-02,-6.02310e-02,-7.41210e-02
3.65710e-02,-6.73790e-02,-7.41530e-02
3.50920e-02,1.28510e-02,-7.39190e-02
-2.76200e-03,-7.75760e-02,-7.38990e-02
3.83990e-02,-6.40830e-02,-7.39930e-02
3.24050e-02,-6.84570e-02,-7.37860e-02
3.26760e-02,1.06680e-02,-7.30930e-02
3.34720e-02,1.14100e-02,-7.38590e-02
3.58490e-02,-5.73790e-02,-7.38590e-02
3.53000e-02,-6.80630e-02,-7.38920e-02
3.85320e-02,-6.24200e-02,-7.39370e-02
3.71900e-02,-5.86340e-02,-7.40570e-02
2.78550e-02,-6.28410e-02,-7.40000e-02
2.57240e-02,1.50380e-02,-7.36800e-02
3.43790e-02,1.20380e-02,-7.38550e-02
3.29080e-02,2.10600e-02,-7.38820e-02
2.99850e-02,-5.77200e-02,-7.38490e-02
2.79050e-02,-6.14680e-02,-7.38210e-02
3.04900e-02,2.17970e-02,-7.36940e-02
3.34710e-02,-6.86200e-02,-7.29350e-02
3.43540e-02,-6.83560e-02,-7.37860e-02
2.87610e-02,-6.62240e-02,-7.40570e-02
3.08420e-02,-5.71780e-02,-7.40570e-02
2.80340e-02,-6.37640e-02,-7.36020e-02
3.62130e-02,-6.76670e-02,-7.40390e-02
-7.91600e-03,-8.47680e-02,-7.32120e-02
-7.14100e-03,4.26930e-02,-7.32030e-02
5.10000e-05,4.32190e-02,-7.38230e-02
3.57490e-02,1.58580e-02,-7.37540e-02
3.49750e-02,1.85370e-02,-7.37310e-02
2.60620e-02,1.81100e-02,-7.35730e-02
3.14610e-02,2.16870e-02,-7.35190e-02
3.13680e-02,-6.82430e-02,-7.31390e-02
2.85900e-02,-5.94400e-02,-7.39090e-02
-7.24900e-03,-7.99120e-02,-7.31930e-02
-7.86600e-03,-8.07660e-02,-7.36710e-02
1.55700e-03,-8.27050e-02,-7.38460e-02
-8.11800e-03,3.78660e-02,-7.39010e-02
1.44400e-03,3.66740e-02,-7.33130e-02
-7.33500e-03,3.58720e-02,-7.27620e-02
-6.59600e-03,3.52940e-02,-7.35520e-02
3.76150e-02,-6.61150e-02,-7.39050e-02
3.53560e-02,1.28290e-02,-7.24220e-02
-3.87900e-03,3.41710e-02,-7.36890e-02
-6.77700e-03,4.36990e-02,-7.37660e-02
3.45660e-02,1.20860e-02,-7.31100e-02
2.93360e-02,-5.83880e-02,-7.35790e-02
3.82400e-02,-6.10030e-02,-7.37860e-02
-1.12800e-03,3.45960e-02,-7.36120e-02
3.83130e-02,-6.46140e-02,-7.37680e-02
2.94500e-02,-6.70030e-02,-7.37120e-02
3.27140e-02,-5.65740e-02,-7.35100e-02
2.86240e-02,-6.57990e-02,-7.34830e-02
3.36640e-02,-5.64630e-02,-7.35380e-02
-7.29000e-04,4.38460e-02,-7.37350e-02
-6.36000e-04,-8.80600e-02,-7.29810e-02
1.74000e-03,3.82560e-02,-7.38310e-02
-7.78400e-03,-8.58920e-02,-7.28770e-02
-7.42700e-03,-8.68190e-02,-7.26060e-02
3.65390e-02,-5.80520e-02,-7.35600e-02
3.02110e-02,-6.75990e-02,-7.34410e-02
3.22090e-02,-5.67700e-02,-7.34400e-02
1.07700e-03,-8.59620e-02,-7.36070e-02
3.83600e-02,-6.38610e-02,-7.33270e-02
2.81340e-02,-6.22090e-02,-7.27440e-02
2.83980e-02,-6.28620e-02,-7.16950e-02
3.72440e-02,-6.67540e-02,-7.36440e-02
3.78720e-02,-6.56980e-02,-7.33170e-02
-3.85400e-03,3.38940e-02,-7.30450e-02
-2.87100e-03,3.37530e-02,-7.23580e-02
2.83010e-02,-6.03240e-02,-7.35380e-02
3.84240e-02,-6.21020e-02,-7.33020e-02
2.91900e-02,1.04740e-02,-7.28670e-02
1.64900e-03,-8.37060e-02,-7.35470e-02
1.84700e-03,4.00860e-02,-7.21470e-02
1.23500e-03,4.09910e-02,-7.27300e-02
3.64640e-02,-6.74580e-02,-7.33590e-02
3.07310e-02,1.03890e-02,-7.33350e-02
-2.38300e-03,-8.86110e-02,-7.28120e-02
3.12880e-02,-5.72430e-02,-7.32440e-02
-7.24800e-03,4.15260e-02,-7.26690e-02
-7.68900e-03,4.06510e-02,-7.27900e-02
3.79950e-02,-6.04010e-02,-7.32700e-02
2.88560e-02,-5.92060e-02,-7.32250e-02
-7.62800e-03,-8.08030e-02,-7.29310e-02
-8.05500e-03,-8.14650e-02,-7.20030e-02
-6.48200e-03,-8.77290e-02,-7.30640e-02
2.86460e-02,-6.52330e-02,-7.22000e-02
2.86710e-02,-6.54840e-02,-7.20870e-02
6.85000e-04,-8.68470e-02,-7.33450e-02
1.71000e-04,-8.74860e-02,-7.31520e-02
3.44170e-02,-5.67160e-02,-7.34140e-02
1.60800e-03,3.74850e-02,-7.31800e-02
3.42150e-02,1.94130e-02,-7.33180e-02
3.53850e-02,-6.80290e-02,-7.31430e-02
3.01100e-02,-5.80660e-02,-7.29300e-02
2.84380e-02,-6.40420e-02,-7.19520e-02
3.52960e-02,-5.72700e-02,-7.31790e-02
-4.30000e-05,-7.97600e-02,-7.25260e-02
-4.64700e-03,-7.79330e-02,-7.30320e-02
2.74180e-02,1.11470e-02,-7.32900e-02
2.62130e-02,1.23950e-02,-7.30270e-02
-2.21000e-04,4.24820e-02,-7.25140e-02
-8.80000e-04,4.34670e-02,-7.30790e-02
3.67400e-02,-5.89600e-02,-7.24270e-02
3.61910e-02,-5.81400e-02,-7.27750e-02
-3.59300e-03,-7.82770e-02,-7.29590e-02
3.24680e-02,2.08590e-02,-7.31800e-02
2.93910e-02,-6.67600e-02,-7.30540e-02
-5.20100e-03,-7.83100e-02,-7.29320e-02
2.58800e-02,1.33160e-02,-7.32800e-02
-4.67000e-03,-8.85470e-02,-7.28260e-02
2.54650e-02,1.43320e-02,-7.28400e-02
-2.60300e-03,-7.83690e-02,-7.29540e-02
1.67300e-03,-8.22450e-02,-7.25190e-02
3.73860e-02,-6.64790e-02,-7.29960e-02
-6.42100e-03,4.34250e-02,-7.31010e-02
3.17170e-02,1.03270e-02,-7.31660e-02
2.84120e-02,1.98940e-02,-7.28750e-02
-1.98400e-03,4.40980e-02,-7.29900e-02
1.61500e-03,-8.56350e-02,-7.29760e-02
2.68590e-02,1.88870e-02,-7.28980e-02
-7.77500e-03,3.67310e-02,-7.26420e-02
-8.03100e-03,3.90620e-02,-7.30230e-02
-7.99900e-03,3.76060e-02,-7.18230e-02
-9.73000e-04,4.29520e-02,-7.24490e-02
-5.52200e-03,4.38830e-02,-7.30320e-02
2.87310e-02,-6.13300e-02,-7.15900e-02
3.43160e-02,1.85460e-02,-7.23900e-02
7.16000e-04,-8.05090e-02,-7.30330e-02
-3.98700e-03,4.43080e-02,-7.29640e-02
1.90100e-03,3.82120e-02,-7.31290e-02
2.90640e-02,-6.63590e-02,-7.24730e-02
3.82460e-02,-6.44860e-02,-7.30650e-02
-1.24000e-04,3.47360e-02,-7.29180e-02
-2.99400e-03,4.44160e-02,-7.29500e-02
2.53680e-02,1.53300e-02,-7.23530e-02
3.77870e-02,-6.07810e-02,-7.23620e-02
-1.75900e-03,-7.86860e-02,-7.28390e-02
-8.05500e-03,3.78940e-02,-7.17780e-02
-8.53000e-04,-7.91630e-02,-7.27020e-02
3.44950e-02,1.15540e-02,-7.22780e-02
2.93210e-02,-6.02850e-02,-7.12680e-02
-3.36800e-03,-8.87080e-02,-7.27840e-02
2.08000e-03,3.90640e-02,-7.22940e-02
2.93580e-02,2.02200e-02,-7.28020e-02
3.22160e-02,-6.87510e-02,-7.21420e-02
3.00790e-02,-6.74450e-02,-7.27480e-02
2.44000e-04,3.50600e-02,-7.28670e-02
3.70760e-02,-6.68560e-02,-7.28400e-02
2.61350e-02,1.82360e-02,-7.21420e-02
2.56740e-02,1.73750e-02,-7.20270e-02
3.28830e-02,1.96820e-02,-7.21370e-02
2.65150e-02,1.19300e-02,-7.28800e-02
-1.02700e-03,3.43090e-02,-7.29780e-02
3.53380e-02,1.66940e-02,-7.25500e-02
3.55030e-02,-6.80700e-02,-7.23610e-02
3.36500e-02,-6.87970e-02,-7.20940e-02
3.30700e-02,-5.72170e-02,-7.26240e-02
2.74800e-02,1.95060e-02,-7.29370e-02
-6.66700e-03,-7.96000e-02,-7.25600e-02
-1.61200e-03,-8.84090e-02,-7.28760e-02
1.25800e-03,-8.65760e-02,-7.26960e-02
3.06230e-02,1.03260e-02,-7.26090e-02
3.55950e-02,1.41530e-02,-7.26750e-02
-2.05000e-03,3.39660e-02,-7.23260e-02
-1.05300e-03,3.42370e-02,-7.22840e-02
1.82500e-03,-8.34770e-02,-7.28860e-02
2.92660e-02,-5.92830e-02,-7.24430e-02
1.06200e-03,3.57160e-02,-7.27660e-02
-8.22400e-03,-8.48130e-02,-7.24680e-02
-7.91600e-03,3.98570e-02,-7.14930e-02
-8.04000e-03,3.88650e-02,-7.16410e-02
-8.37900e-03,-8.35370e-02,-7.21140e-02
3.13570e-02,2.07140e-02,-7.26000e-02
2.54890e-02,1.63060e-02,-7.25420e-02
1.29700e-03,-8.10960e-02,-7.21320e-02
-5.96400e-03,-7.89070e-02,-7.27510e-02
3.75220e-02,-5.98870e-02,-7.27510e-02
-4.39600e-03,-8.86170e-02,-7.28080e-02
-6.60600e-03,3.51520e-02,-7.28540e-02
3.66160e-02,-6.74470e-02,-7.18420e-02
3.79570e-02,-6.53670e-02,-7.26970e-02
1.83500e-03,3.71430e-02,-7.25590e-02
1.95300e-03,-8.44400e-02,-7.26000e-02
3.43250e-02,-5.75010e-02,-7.23890e-02
3.12040e-02,-5.79130e-02,-7.21920e-02
3.78560e-02,-6.17490e-02,-7.19490e-02
5.50000e-04,4.18230e-02,-7.26040e-02
3.75000e-04,-8.75180e-02,-7.24130e-02
3.02800e-02,2.04010e-02,-7.19760e-02
-6.71500e-03,4.23260e-02,-7.25500e-02
3.81270e-02,-6.28990e-02,-7.22140e-02
3.21100e-02,2.02890e-02,-7.23900e-02
2.72590e-02,1.12330e-02,-7.26100e-02
2.81030e-02,1.08450e-02,-7.23940e-02
1.62600e-03,3.64790e-02,-7.26650e-02
2.07900e-03,3.81050e-02,-7.24270e-02
2.57170e-02,1.34320e-02,-7.26060e-02
3.17770e-02,1.02560e-02,-7.24110e-02
2.61780e-02,1.25810e-02,-7.23520e-02
-5.97100e-03,4.25850e-02,-7.18060e-02
2.09900e-03,3.86790e-02,-7.23480e-02
-2.97300e-03,4.33520e-02,-7.16910e-02
-2.97300e-03,4.37810e-02,-7.23340e-02
3.36810e-02,1.09420e-02,-7.22660e-02
-5.50000e-04,-8.79830e-02,-7.22750e-02
-7.46500e-03,-8.04450e-02,-7.15770e-02
-6.51400e-03,-8.76150e-02,-7.23700e-02
1.93300e-03,-8.48590e-02,-7.24770e-02
1.95200e-03,-8.32550e-02,-7.22230e-02
-3.86400e-03,3.37870e-02,-7.23580e-02
3.47900e-02,1.77010e-02,-7.21310e-02
-6.90800e-03,-7.98620e-02,-7.24820e-02
3.78640e-02,-6.50800e-02,-7.20590e-02
-8.23000e-03,-8.25450e-02,-7.24110e-02
-4.57700e-03,-7.84020e-02,-7.21510e-02
2.95770e-02,-6.77130e-02,-7.18840e-02
2.89780e-02,1.07670e-02,-7.15170e-02
3.49580e-02,-5.78050e-02,-7.22100e-02
3.48260e-02,-6.87420e-02,-7.13290e-02
2.74640e-02,1.94780e-02,-7.22100e-02
-1.55400e-03,-8.82680e-02,-7.21880e-02
-3.52300e-03,-7.85420e-02,-7.21280e-02
-6.46700e-03,3.52460e-02,-7.22150e-02
-4.38300e-03,-8.85160e-02,-7.21050e-02
3.75070e-02,-6.59690e-02,-7.16870e-02
-7.93700e-03,-8.13000e-02,-7.13200e-02
6.54000e-04,-8.01660e-02,-7.16770e-02
-5.20300e-03,4.33170e-02,-7.24080e-02
-1.96800e-03,4.31130e-02,-7.10120e-02
3.11730e-02,-6.85590e-02,-7.14890e-02
1.67800e-03,-8.57990e-02,-7.21970e-02
3.49750e-02,1.20310e-02,-7.15860e-02
3.52840e-02,1.24900e-02,-7.16320e-02
2.84060e-02,1.98020e-02,-7.14210e-02
3.27610e-02,1.05120e-02,-7.23160e-02
-2.37000e-03,-8.80500e-02,-7.07870e-02
